measure,hybrid,hybrid1,ggmr,ggmr2,ggmr1,rc3,rc2,rc1,measure,hybrid,hybrid1,ggmr,ggmr2,ggmr1,rc3,rc2,rc1
32762.13946,36193.46164,36965.21632,36899.99076,40138.67472,37067.74427,24910,19050,-7809,77941.91529,79737.88179,80667.07739,75349.71546,76734.20939,74149.11806,80790,67650,24991
4138.236931,2550.264306,1003.909193,7859.451249,6557.809082,5355.800377,-7960,1060,20703,57228.78876,58846.22393,57845.53176,56050.19982,54179.58212,51991.40327,61460,54180,31435
84517.16273,84406.74956,84367.36551,89072.21533,79488.32939,80532.04959,78158,70080,7703,90514.60756,89824.93735,93151.42461,94564.56478,88176.73889,88156.1785,83538,75220,32037
-13216.32049,-8892.966662,-8352.334703,-12332.1473,-9928.212694,-10479.06559,-19408,-19523,-14065.6,62111.58653,64211.60858,66866.8015,54643.09497,54171.99665,48545.8054,65268,48443,30365.6
48661.21941,46933.56233,46052.21162,50248.15589,46475.14693,46350.97006,42100,48394,24799.1,75874.99101,75908.77788,75599.31806,76248.53613,72656.29685,69756.23359,74520,67374,27176.9
41636.89501,45360.0238,44515.91694,45961.06377,40447.77123,41839.54923,38190,30780,-14617,80380.38859,82271.26323,85516.69697,81345.00645,78389.99742,77139.03891,81410,70460,27777
-5478.153871,-6933.709495,-6087.153063,841.764178,-564.647526,3423.78765,-15070,-6049,10808.3,58135.71944,55343.78658,56599.14198,60631.74969,57884.75124,55821.26089,59250,51189,27887.7
79833.30459,84192.9653,84458.72759,86529.65507,76736.23804,81541.21892,78910,68280,-3210,92512.78063,97015.9992,101754.3566,99753.1937,91842.72142,96027.98605,93430,82260,34730
712.3794287,461.1780753,3901.35815,1759.980761,2324.188473,-1968.645328,-6563,-4217,-2680,65236.109,64643.06492,68735.69459,63379.74108,59906.34299,51143.66064,63783,48717,34320
50900.75308,48060.0168,49277.06791,59693.5123,50172.38982,53942.2941,44640,50392,23733,73018.15936,71250.88412,72031.4779,82614.17065,72962.94833,73691.12393,70760,64828,25913
6218.326329,11685.1478,12006.62094,8100.072779,7959.743742,5172.202198,4750,-1680,-31752.8,65493.56029,71267.9984,75012.84798,67702.08032,62187.63959,57752.16209,72750,60680,31752.8
10372.65397,10515.13874,9554.198026,9971.156462,11407.20654,11094.57481,5230,13715,14912,60973.5348,61720.48118,61368.03684,60462.29589,60251.73049,56535.15591,62770,55875,25612
61672.7491,65404.97122,64429.91941,61330.53813,63282.06713,57259.64205,59360,51180,-8952,82543.8571,86195.17555,87461.45263,82969.62778,89519.27178,80867.12879,81280,71900,32148
-43636.53088,-43645.80054,-43805.30888,-43591.91579,-36738.72762,-39415.6046,-48520,-39628,-12053,43636.53088,43645.80054,43805.30888,43591.91579,36738.72762,39415.6046,48520,40012,32473
57192.21898,57195.84959,59165.26614,55202.94082,54555.29971,54809.4564,57100,53226,6092,81143.9657,82204.27452,85700.26803,79876.31407,74681.07122,76863.86908,79080,65846,33592
-40637.80847,-40425.34607,-42397.01292,-39926.11621,-39237.82948,-41944.04634,-45010,-40580,-21412,40637.80847,40425.34607,42397.01292,39926.11621,39237.82948,41944.04634,45010,40580,26376
