measured,hybrid_predicted,ggmr_predicted,rc_model3_predicted,rc_model2_predicted,rc_model1_predicted
14083.7558,14778.52714,13808.64664,1.45E+04,1.35E+04,1.54E+03
13862.8743,14467.231,13694.58958,1.42E+04,1.36E+04,3.09E+03
14034.02089,14291.72228,13698.89434,1.41E+04,1.36E+04,3.61E+03
13862.8743,14003.62253,13582.46361,1.39E+04,1.35E+04,5.17E+03
13981.3604,13462.37567,13351.19435,1.35E+04,1.32E+04,6.20E+03
12041.69898,11815.07852,11114.85893,9.74E+03,9.77E+03,4.13E+03
-1369.17277,73.58517815,-54.87037777,8.87E+02,4.32E+03,6.72E+03
-3686.234381,-4055.777648,-4059.45372,-3.51E+03,1.37E+02,5.69E+03
-4388.374263,-4645.094806,-4709.264179,-4.62E+03,-2.17E+03,4.65E+03
-4739.444204,-4751.489705,-4678.059698,-4.74E+03,-3.27E+03,1.02E+03
-4699.948836,-4780.350354,-4730.623802,-4.67E+03,-3.75E+03,2.06E+03
-4525.876657,-4616.35012,-4721.28142,-4.54E+03,-3.89E+03,-1.57E+03
-4525.876657,-4406.030672,-4811.995888,-4.31E+03,-3.89E+03,-2.61E+03
-4525.876657,-4246.115348,-4801.49745,-4.22E+03,-3.86E+03,-3.13E+03
-4351.804477,-4180.88601,-4197.55799,-4.13E+03,-3.80E+03,-2.61E+03
-4525.876657,-4086.306528,-4014.571012,-3.96E+03,-3.69E+03,-3.13E+03
-4278.664906,-3895.487913,-3902.093846,-3.77E+03,-3.55E+03,-4.69E+03
-3083.564315,-2789.517212,-3385.548933,-1.51E+03,-1.32E+03,-4.69E+03
3978.792665,5868.065737,3282.538187,6.56E+03,4.20E+03,-4.17E+03
13955.03016,15313.86854,12355.39439,1.38E+04,9.20E+03,-5.72E+03
13639.06721,14831.21921,13535.0993,1.45E+04,1.17E+04,-1.57E+03
14130.56513,14794.16891,13564.58672,1.45E+04,1.29E+04,-1.93E+01
14034.02089,14777.21256,13588.65926,1.45E+04,1.34E+04,-5.38E+02
14034.02089,14704.98431,13605.69074,1.45E+04,1.37E+04,2.05E+03
14034.02089,14346.83528,13494.44877,1.42E+04,1.37E+04,3.61E+03
13862.8743,13988.12383,13382.16332,1.40E+04,1.36E+04,4.13E+03
13808.75101,13662.51166,13265.08714,1.37E+04,1.34E+04,5.17E+03
11825.20585,13302.8767,12507.21204,1.08E+04,1.06E+04,5.68E+03
2785.154866,1717.331344,1629.618392,2.08E+03,4.99E+03,4.65E+03
-3159.629469,-4173.685604,-4121.094819,-3.73E+03,4.00E+02,6.72E+03
-4212.839292,-4578.645155,-4783.20896,-4.50E+03,-1.99E+03,4.65E+03
-4699.948836,-4766.565018,-4779.101668,-4.66E+03,-3.16E+03,1.54E+03
-4699.948836,-4749.07316,-4720.515677,-4.69E+03,-3.71E+03,-1.99E+01
-4699.948836,-4687.697563,-4742.550994,-4.59E+03,-3.92E+03,-5.38E+02
-4699.948836,-4540.169247,-4793.620388,-4.43E+03,-3.94E+03,-1.58E+03
-4699.948836,-4306.243698,-4841.405418,-4.26E+03,-3.90E+03,-3.13E+03
-4525.876657,-4247.282156,-4798.205762,-4.17E+03,-3.83E+03,-2.61E+03
-4388.374263,-4072.983982,-3999.612691,-3.96E+03,-3.69E+03,-4.69E+03
-4226.004415,-3970.712715,-3976.363462,-3.74E+03,-3.55E+03,-4.17E+03
-3279.578366,-3001.615281,-2953.440136,2.82E+02,4.97E+02,-5.21E+03
12367.90146,13506.40705,10874.2157,1.11E+04,6.53E+03,-4.17E+03
13112.4623,14184.20278,13496.89363,1.39E+04,1.03E+04,-4.69E+03
13598.10905,14595.4915,13611.54974,1.43E+04,1.21E+04,-2.09E+03
13962.34411,14648.05664,13496.03962,1.44E+04,1.30E+04,-5.39E+02
14034.02089,14585.25935,13495.9472,1.43E+04,1.34E+04,1.02E+03
13862.8743,14462.37418,13385.58172,1.43E+04,1.36E+04,4.13E+03
