measure,hybrid,hybrid1,ggmr,ggmr2,ggmr1,rc3,rc2,rc1
83905.71589900002,83245.090132,84488.34409099999,81248.0786512,74957.8513081,83696.17637170001,82574.0,74752.0,43927.7
46380.72758400001,43008.22709200001,43851.801309,45987.25792799999,43511.394099,44208.093205,40570.0,38860.0,34550.0
33467.204922000004,36807.053330999996,36011.815394,40655.440718,36906.286159,38951.056632,29350.0,28626.0,38200.0
97228.82016070001,98063.26448900002,97540.846197,108486.539614,99682.52563899998,88343.82621799999,104220.0,86368.0,40780.0
37851.190811,39386.609541,38288.06862600001,38283.438604999996,39012.566696,36973.53681700001,40210.0,37940.0,26229.6
106622.866679,107682.469209,103454.44879509999,106548.31854600001,93463.729832,92425.74721870001,104140.0,89470.0,36398.0
44449.842909499996,43457.842655099994,44533.9352091,40383.932933200005,41153.416761,41349.188683,49460.0,43971.0,40900.0
121325.38325799999,124682.59409099999,121870.56451899999,127425.74874600001,125151.698416,115784.87014499998,118810.0,105530.0,44061.6
38965.837871,39503.524386,39862.8137586,37381.935766,39445.67827999999,39829.873603,43476.4,35576.0,33309.0
134547.5549073,138139.08841469997,134756.9018525,131810.207239,127005.85170890001,123580.4179245,129148.0,112270.0,51211.0
76095.872515,76103.47436200001,75256.08946460001,70683.165322,69111.3553691,70049.19957200001,75582.0,60384.0,30275.0
105139.5961691,105332.20276310001,107439.92946909998,102327.2534929,101579.0123334,102346.6810533,102804.0,93868.0,45293.0
106480.975915,110535.48178500001,108210.884605,102717.26326800001,94129.4764382,100404.795454,104139.0,89393.0,34414.0
82786.68047200001,81716.29803199999,83286.39280800002,82722.733042,81212.24798,83285.650315,79760.0,71420.0,43877.0
114576.06363229998,117509.64687380001,122681.460023,113032.20055000001,114516.72055799999,109469.671264,118040.0,103400.0,40590.0
73040.10122899999,71628.15865399998,72397.04014999999,72302.991793,69556.567239,71031.466352,70940.0,62050.0,42890.8
99023.665247,101437.670606,97666.95390332,92332.27786599999,82302.516496,86186.1038402,96680.0,82010.0,43407.9
95703.12872499999,96881.341003,98187.850252,94111.5646314,92179.40156399999,93149.5379115,94433.0,86314.0,43769.0
117798.593136,122565.93564500002,122106.64531899999,121290.18894299999,113747.84807699999,119211.09444700001,116956.0,102191.0,38008.2
67035.342454,65307.672306,67001.4976131,66169.93566969999,64291.5015382,65191.067862699994,62518.0,55428.0,40459.8
109585.01930199999,113605.086961,113760.612812,113879.12335800001,111749.156849,116262.907129,111300.0,96980.0,43810.0
50782.266967999996,50127.13445,51429.090236000004,48953.470111,53635.357006,54743.488989,46060.0,38790.0,33771.4
69327.536603,70751.945701,68157.3892,66886.940073,71121.373532,68540.812239,64454.0,53652.0,44570.0
76009.567816,77931.75083299998,78726.575095,76311.03911890001,72665.48912400001,78184.16959800001,74144.0,67252.0,35001.0
34222.005294,34127.007022,34986.994085,37414.518251999994,39929.66140999999,38568.726106,27540.0,26320.0,32670.0
29473.784342,30078.586904,30118.546428,33077.343766,31156.992407,32798.207857,26670.0,25360.0,31640.0
68511.2989916,73478.855144,69336.938482,71005.925659,64910.28245199999,57771.400652000004,72059.0,59557.0,23270.0
60659.0346506,62633.076139,62369.013981,61353.463167999995,56922.878860000004,61226.303339,64138.0,57837.9,38023.0
38225.665414,33372.22437,33076.240886,32386.531669,34816.172531,31548.544688,39380.0,37820.0,32690.0
82381.487239,83750.228,82545.14744880001,84904.119389,72980.86896600001,81382.0099,79769.0,69324.0,39150.0
