measure,hybrid,ggmr,rc3,rc2,rc1
9262.39528,9825.0132733,19467.992533999994,5384.0,13650.0,20007.1
50757.39952,54442.481929999994,58520.44412200001,52410.0,44040.0,-15240.400000000001
-27436.115890999998,-27134.793265,-21350.833954,-32340.0,-23058.0,-3332.0
72754.856909,75722.948883,87078.861563,73120.0,67278.0,7568.6
-13742.925392999996,-15717.45183699999,-16519.547194,-15540.0,-18110.0,-24070.0
36759.9484107,37122.059299299995,51285.580179000004,32155.0,39340.0,23623.0
27136.243650999997,31241.867653,34166.366829,27210.0,19440.0,-24612.0
-8482.727448999998,-9721.045937,-5284.934146000001,-13897.0,-5290.0,8546.0
61823.416624,66880.10625499999,65032.194827,61000.0,52760.0,-6486.0
-38487.505077999995,-40162.452079,-39932.114626,-43180.0,-34538.0,-9614.0
60887.23010699999,57028.707801,57492.927738000006,58810.0,56261.0,12174.2
10153.235250999995,10719.237627999999,9756.868704999999,8570.0,2180.0,-24139.2
14246.125649000005,11403.556638000002,18226.132401000003,8200.0,16209.0,20464.0
48068.788883,48445.616204000005,49090.689270999996,47840.0,39673.0,-13778.900000000001
-16010.2521035,-17748.2726119,-15513.148710799998,-22620.2,-13810.0,6945.0
58687.19181800001,59602.91560599999,57433.79102199999,57217.0,53586.0,6958.0
-26540.887543000004,-25020.194211999995,-28557.839242000002,-29167.0,-28285.0,-22098.0
74328.82047,77203.097389,73941.91317800002,70120.0,69352.0,23520.7
19863.244708000002,23734.153584,16764.451529999995,17060.0,12030.0,-14861.7
23574.346540000002,21260.903796999995,24514.714615999997,18040.0,25250.0,24031.0
51245.971848999994,58263.971059999996,68426.836951,51460.0,44630.0,-6056.6
-19867.633080999996,-21085.847921000004,-19116.89089,-22350.0,-14778.0,-2958.3
65040.09495300001,81530.902283,84523.52771999998,64730.0,60920.0,10016.0
30744.950082000003,30746.668576,22653.082834,30670.0,22640.0,-15917.599999999999
67197.712295,58800.517853,52805.45084600001,57470.0,67210.0,57183.0
40390.596725999996,43266.745931,32621.375795,44590.0,33190.0,-28399.0
59585.34574500001,55730.523924,47156.540848000004,53970.0,64710.0,53015.0
7861.041093,17411.851582000003,8857.649118000003,14948.599999999999,8152.0,-35666.0
36038.792242,38606.656002,56528.782255,38105.0,45458.0,24457.0
41010.82028,50132.277045,57992.59708199999,49773.0,39797.0,-27393.0
1120.4982299999974,1060.3045040000038,2107.2655649999942,1133.0,12001.0,17190.5
81241.972736,86506.063776,92190.99406900001,88043.0,76236.0,-12372.0
-15678.198444999998,-16444.782435999998,-15279.896550000001,-16234.0,-4341.0,12512.0
101078.88719200001,106013.42865000002,107890.057999,105073.0,94398.0,3690.0
-45968.22040299999,-43827.013457,-45578.447994999995,-42510.0,-31360.0,-9286.0
